"n","p1","ratec","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,16,0.5,3.4,0.965562,0.962995,0.967478,0.955929,-0.002567,0.001916,-0.009633,0.000279,0.000235,0.001403,0.000273,0.000232,0.001313,"dir",-0.002567,0.000279,0.000273
100,0.25,16,0.5,3.5,0.970364,0.968059,0.971953,0.961749,-0.002305,0.001589,-0.008615,0.000244,0.000205,0.00121,0.000239,0.000203,0.001138,"dir",-0.002305,0.000244,0.000239
100,0.25,16,0.5,3.6,0.974526,0.972449,0.975834,0.966823,-0.002077,0.001308,-0.007703,0.000213,0.000179,0.001041,0.000209,0.000178,0.000983,"dir",-0.002077,0.000213,0.000209
100,0.25,16,0.5,3.7,0.978129,0.976257,0.979201,0.971241,-0.001872,0.001072,-0.006888,0.000185,0.000156,0.000894,0.000182,0.000155,0.000848,"dir",-0.001872,0.000185,0.000182
100,0.25,16,0.5,3.8,0.981243,0.979561,0.982123,0.975084,-0.001682,0.000879,-0.006159,0.000161,0.000135,0.000767,0.000159,0.000135,0.000731,"dir",-0.001682,0.000161,0.000159
100,0.25,16,0.5,3.9,0.98393,0.982426,0.984656,0.97843,-0.001504,0.000726,-0.0055,0.000139,0.000117,0.000658,0.000137,0.000116,0.000629,"dir",-0.001504,0.000139,0.000137
100,0.25,16,0.5,4,0.986246,0.984911,0.986853,0.981346,-0.001335,0.000607,-0.0049,0.00012,1e-04,0.000564,0.000119,1e-04,0.000541,"dir",-0.001335,0.00012,0.000119
100,0.25,8,-0.5,0,0,0.010602,0.017505,0.015354,0.010602,0.017505,0.015354,0.000143,0.000367,0.000385,3.1e-05,6.1e-05,0.00015,"dir",0.010602,0.000143,3.1e-05
100,0.25,8,-0.5,0.1,0.001148,0.018812,0.029388,0.023186,0.017664,0.02824,0.022037,0.000375,0.000911,0.000746,6.3e-05,0.000114,0.00026,"dir",0.017664,0.000375,6.3e-05
100,0.25,8,-0.5,0.2,0.007926,0.03135,0.046465,0.034238,0.023424,0.038539,0.026311,0.000664,0.001676,0.001121,0.000116,0.000191,0.000429,"dir",0.023424,0.000664,0.000116
100,0.25,8,-0.5,0.3,0.023115,0.049212,0.069468,0.049356,0.026097,0.046352,0.026241,0.000872,0.00244,0.00136,0.000192,0.000292,0.000673,"dir",0.026097,0.000872,0.000192
100,0.25,8,-0.5,0.4,0.047423,0.073079,0.098695,0.069359,0.025656,0.051272,0.021937,0.000948,0.003042,0.001483,0.00029,0.000414,0.001004,"dir",0.025656,0.000948,0.00029
100,0.25,8,-0.5,0.5,0.080301,0.103181,0.133944,0.094918,0.02288,0.053642,0.014616,0.000931,0.00343,0.001642,0.000408,0.000554,0.001431,"dir",0.02288,0.000931,0.000408
100,0.25,8,-0.5,0.6,0.120513,0.139246,0.174536,0.126427,0.018733,0.054023,0.005914,0.000895,0.003628,0.001991,0.000545,0.000711,0.00196,"dir",0.018733,0.000895,0.000545
100,0.25,8,-0.5,0.7,0.166502,0.180532,0.21943,0.163896,0.014029,0.052927,-0.002606,9e-04,0.003688,0.002603,0.000705,0.000889,0.002601,"dir",0.014029,9e-04,0.000705
