"n","p1","sdC1","sdC2","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.05,0.25,-0.5,3.5,0.679238,0.68,0.803817,0.661591,0.000762,0.124579,-0.017647,0.002121,0.016297,0.005726,0.00265,0.000972,0.006769,"dir",0.000762,0.002121,0.00265
100,0.25,0.05,0.25,-0.5,4,0.738536,0.754,0.877817,0.747852,0.015464,0.139281,0.009316,0.002183,0.020486,0.002691,0.00243,0.001359,0.003256,"dir",0.015464,0.002183,0.00243
100,0.25,0.05,0.25,-0.5,4.5,0.78771,0.794,0.917817,0.800223,0.00629,0.130107,0.012514,0.001584,0.017522,0.002337,0.00193,0.000743,0.002726,"dir",0.00629,0.001584,0.00193
100,0.25,0.05,0.25,-0.5,5,0.828203,0.846,0.967161,0.848251,0.017797,0.138958,0.020048,0.001701,0.019892,0.001449,0.00173,0.000728,0.001308,"dir",0.017797,0.001701,0.00173
100,0.25,0.05,0.25,-0.5,5.5,0.861361,0.878,0.990507,0.877903,0.016639,0.129145,0.016542,0.001533,0.016816,0.001891,0.00157,0.000172,0.002021,"dir",0.016639,0.001533,0.00157
100,0.25,0.05,0.25,-0.5,6,0.88839,0.908,0.999709,0.90251,0.01961,0.111319,0.01412,0.001481,0.012392,0.001376,0.00137,0,0.001471,"dir",0.01961,0.001481,0.00137
100,0.25,0.05,0.25,-0.5,6.5,0.910337,0.924,1,0.919735,0.013663,0.089663,0.009398,0.001331,0.008039,0.001169,0.00143,0,0.001351,"dir",0.013663,0.001331,0.00143
100,0.25,0.05,0.25,-0.5,7,0.928102,0.938,1,0.932649,0.009898,0.071898,0.004547,0.000874,0.005169,0.000658,0.00097,0,0.000796,"dir",0.009898,0.000874,0.00097
100,0.25,0.05,0.25,-0.5,7.5,0.942442,0.944,1,0.944974,0.001558,0.057558,0.002533,0.000586,0.003313,0.000562,0.00073,0,0.000695,"dir",0.001558,0.000586,0.00073
100,0.25,0.05,0.25,-0.5,8,0.953988,0.964,1,0.951998,0.010012,0.046012,-0.001991,0.000604,0.002117,0.000471,0.00063,0,0.000584,"dir",0.010012,0.000604,0.00063
100,0.25,0.05,0.25,-0.5,8.5,0.963267,0.964,1,0.95409,0.000733,0.036733,-0.009177,0.000505,0.001349,0.000489,0.00063,0,0.000506,"dir",0.000733,0.000505,0.00063
100,0.25,0.05,0.25,-0.5,9,0.970709,0.968,1,0.958711,-0.002709,0.029291,-0.011998,0.000423,0.000858,0.000639,0.00052,0,0.000619,"dir",-0.002709,0.000423,0.00052
100,0.25,0.05,0.25,-0.5,9.5,0.976669,0.976,1,0.968489,-0.000669,0.023331,-0.00818,0.000304,0.000544,0.000317,0.00038,0,0.000312,"dir",-0.000669,0.000304,0.00038
100,0.25,0.05,0.25,-0.5,10,0.981434,0.98,1,0.971542,-0.001434,0.018566,-0.009892,0.000202,0.000345,0.000285,0.00025,0,0.000234,"dir",-0.001434,0.000202,0.00025
100,0.25,0.05,0.25,-0.5,10.5,0.985239,0.982,1,0.975423,-0.003239,0.014761,-0.009816,0.000226,0.000218,0.000173,0.00027,0,9.6e-05,"dir",-0.003239,0.000226,0.00027
100,0.25,0.05,0.25,-0.5,11,0.988274,0.986,1,0.976773,-0.002274,0.011726,-0.011501,0.000189,0.000137,0.00021,0.00023,0,9.7e-05,"dir",-0.002274,0.000189,0.00023
100,0.25,0.05,0.25,-0.5,11.5,0.990692,0.986,1,0.977436,-0.004692,0.009308,-0.013257,0.000206,8.7e-05,0.000261,0.00023,0,0.000106,"dir",-0.004692,0.000206,0.00023
100,0.25,0.05,0.25,-0.5,12,0.992617,0.986,1,0.97831,-0.006617,0.007383,-0.014307,0.000228,5.5e-05,0.000274,0.00023,0,8.7e-05,"dir",-0.006617,0.000228,0.00023
100,0.25,0.05,0.25,0,0,0,0,0.12679,0,0,0.12679,0,0,0.016237,0,0,0.000201,0,"dir",0,0,0
100,0.25,0.05,0.25,0,0.5,0.081109,0.078,0.20479,0.054629,-0.003109,0.123681,-0.02648,0.000266,0.015618,0.001057,0.00032,0.000401,0.000444,"dir",-0.003109,0.000266,0.00032
100,0.25,0.05,0.25,0,1,0.198748,0.198,0.32479,0.181652,-0.000748,0.126042,-0.017096,0.001857,0.018715,0.003267,0.00232,0.003536,0.003718,"dir",-0.000748,0.001857,0.00232
100,0.25,0.05,0.25,0,1.5,0.31773,0.33,0.45679,0.311295,0.01227,0.13906,-0.006435,0.001151,0.02083,0.000839,0.00125,0.001865,0.000997,"dir",0.01227,0.001151,0.00125
100,0.25,0.05,0.25,0,2,0.427593,0.442,0.56879,0.431075,0.014407,0.141197,0.003481,0.002584,0.022577,0.003122,0.00297,0.003301,0.003887,"dir",0.014407,0.002584,0.00297
100,0.25,0.05,0.25,0,2.5,0.524709,0.542,0.66879,0.528584,0.017291,0.144081,0.003875,0.002035,0.022437,0.00242,0.00217,0.002097,0.003006,"dir",0.017291,0.002035,0.00217
100,0.25,0.05,0.25,0,3,0.608375,0.616,0.74279,0.610573,0.007625,0.134415,0.002199,0.002642,0.020473,0.00332,0.00323,0.003007,0.004144,"dir",0.007625,0.002642,0.00323
100,0.25,0.05,0.25,0,3.5,0.679238,0.686,0.81279,0.674542,0.006762,0.133552,-0.004696,0.00383,0.021574,0.003853,0.00473,0.004672,0.004788,"dir",0.006762,0.00383,0.00473
100,0.25,0.05,0.25,0,4,0.738536,0.746,0.87279,0.734076,0.007464,0.134254,-0.00446,0.00312,0.0207,0.004098,0.00383,0.003345,0.005097,"dir",0.007464,0.00312,0.00383
100,0.25,0.05,0.25,0,4.5,0.78771,0.782,0.90879,0.776429,-0.00571,0.12108,-0.011281,0.002569,0.01667,0.003275,0.00317,0.002512,0.003934,"dir",-0.00571,0.002569,0.00317
100,0.25,0.05,0.25,0,5,0.828203,0.82,0.94679,0.819511,-0.008203,0.118587,-0.008691,0.000747,0.01461,0.001471,0.00085,0.000684,0.001744,"dir",-0.008203,0.000747,0.00085
100,0.25,0.05,0.25,0,5.5,0.861361,0.86,0.978843,0.845404,-0.001361,0.117481,-0.015958,0.001162,0.01438,0.001764,0.00145,0.000722,0.001886,"dir",-0.001361,0.001162,0.00145
100,0.25,0.05,0.25,0,6,0.88839,0.884,0.988118,0.872664,-0.00439,0.099728,-0.015726,0.001643,0.010295,0.001693,0.00203,0.000436,0.001808,"dir",-0.00439,0.001643,0.00203
100,0.25,0.05,0.25,0,6.5,0.910337,0.908,1,0.898145,-0.002337,0.089663,-0.012193,0.000381,0.008039,0.000622,0.00047,0,0.000592,"dir",-0.002337,0.000381,0.00047
