"n","p1","maxc","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
500,0.25,0.1,-0.5,"IST",0.75,0.389479,0.383466,-0.006013,0.000471,0.000436
500,0.25,0.1,0,"Direct",0.25,0.161163,0.161472,0.000309,7e-05,7e-05
500,0.25,0.1,0,"Direct",0.5,0.26445,0.265286,0.000836,9.7e-05,9.7e-05
500,0.25,0.1,0,"Direct",0.75,0.389479,0.3897,0.000221,0.000138,0.000138
500,0.25,0.1,0,"IST",0.25,0.161163,0.161164,1e-06,0.000228,0.000229
500,0.25,0.1,0,"IST",0.5,0.26445,0.266714,0.002264,0.000353,0.000349
500,0.25,0.1,0,"IST",0.75,0.389479,0.393028,0.003549,0.000566,0.000554
500,0.25,0.1,0.5,"Direct",0.25,0.161163,0.161112,-5.1e-05,6.5e-05,6.5e-05
500,0.25,0.1,0.5,"Direct",0.5,0.26445,0.26439,-6e-05,9.3e-05,9.3e-05
500,0.25,0.1,0.5,"Direct",0.75,0.389479,0.38939,-8.9e-05,0.000149,0.000149
500,0.25,0.1,0.5,"IST",0.25,0.161163,0.151078,-0.010085,0.000416,0.000315
500,0.25,0.1,0.5,"IST",0.5,0.26445,0.268316,0.003866,0.000416,0.000402
500,0.25,0.1,0.5,"IST",0.75,0.389479,0.405106,0.015627,0.000815,0.000572
500,0.25,0.25,-0.5,"Direct",0.25,0.161163,0.161576,0.000413,5.8e-05,5.8e-05
500,0.25,0.25,-0.5,"Direct",0.5,0.26445,0.264638,0.000188,8.7e-05,8.7e-05
500,0.25,0.25,-0.5,"Direct",0.75,0.389479,0.38946,-1.9e-05,0.000131,0.000132
500,0.25,0.25,-0.5,"IST",0.25,0.161163,0.17339,0.012227,0.000301,0.000152
500,0.25,0.25,-0.5,"IST",0.5,0.26445,0.274146,0.009696,0.000281,0.000187
500,0.25,0.25,-0.5,"IST",0.75,0.389479,0.387964,-0.001515,0.000277,0.000275
500,0.25,0.25,0,"Direct",0.25,0.161163,0.16175,0.000587,6.7e-05,6.7e-05
500,0.25,0.25,0,"Direct",0.5,0.26445,0.26478,0.00033,0.000107,0.000107
500,0.25,0.25,0,"Direct",0.75,0.389479,0.389306,-0.000173,0.000158,0.000158
500,0.25,0.25,0,"IST",0.25,0.161163,0.149714,-0.011449,0.000421,0.00029
500,0.25,0.25,0,"IST",0.5,0.26445,0.272294,0.007844,0.000416,0.000355
500,0.25,0.25,0,"IST",0.75,0.389479,0.409678,0.020199,0.000919,0.000512
500,0.25,0.25,0.5,"Direct",0.25,0.161163,0.161616,0.000453,6.7e-05,6.7e-05
500,0.25,0.25,0.5,"Direct",0.5,0.26445,0.264826,0.000376,9e-05,9e-05
500,0.25,0.25,0.5,"Direct",0.75,0.389479,0.388964,-0.000515,0.00015,0.00015
500,0.25,0.25,0.5,"IST",0.25,0.161163,0.12648,-0.034683,0.001555,0.000352
500,0.25,0.25,0.5,"IST",0.5,0.26445,0.271278,0.006828,0.000488,0.000442
500,0.25,0.25,0.5,"IST",0.75,0.389479,0.433696,0.044217,0.002568,0.000615
500,0.25,0.5,-0.5,"Direct",0.25,0.161163,0.161374,0.000211,6.6e-05,6.6e-05
500,0.25,0.5,-0.5,"Direct",0.5,0.26445,0.264428,-2.2e-05,9e-05,9e-05
